SA2_code,SA2_name,Area,Population_density_2024
127031522,Casula,7.1,2375.7
127031523,Chipping Norton - Moorebank,14.5,1508
127031524,Holsworthy - Wattle Grove,73.7,288.6
127031599,Lurnea - Cartwright,3.5,3900.8
127031601,Warwick Farm,4.7,1393.9
127031730,Edmondson Park,6.1,2793.5
127031731,Liverpool - East,2.3,9009.3
127031732,Liverpool - West,4.1,3667.3
127031733,Prestons,9.2,1682.9
128011529,Gymea - Grays Point,5.8,3216.2
128011530,Miranda - Yowie Bay,6,3736.3
128011531,Sylvania - Taren Point,6.1,2728.3
128011602,Caringbah,4,3443.8
128011603,Caringbah South,4.1,3318.5
128011604,Cronulla - Kurnell - Bundeena,25.1,1011.7
128011605,Lilli Pilli - Port Hacking - Dolans Bay,1.3,2649.1
128011606,Woolooware - Burraneer,3.3,2864.9
128021533,Heathcote - Waterfall,27.6,243
128021534,Illawong - Alfords Point,7.3,1451.5
128021535,Menai - Lucas Heights - Woronora,33.4,625.7
128021536,Oyster Bay - Como - Jannali,8.9,2557.2
128021537,Royal National Park,139.3,0.3
128021538,Sutherland - Kirrawee,7.8,3152.4
128021607,Engadine,9,1979
128021608,Loftus - Yarrawarrah,3.8,1931.5
128021609,Woronora Heights,3.1,1146.8
201011001,Alfredton,52.7,381.9
201011002,Ballarat,12.4,951.1
201011005,Buninyong,51.6,142.6
201011006,Delacombe,34.2,417.8
201011007,Smythes Creek,104.7,40.8
201011008,Wendouree - Miners Rest,67.6,230.4
201011481,Ballarat East - Warrenheip,19.2,505.7
201011482,Ballarat North - Invermay,73.1,207.4
201011483,Canadian - Mount Clear,22.3,559.3
201011484,Sebastopol - Redan,10.6,1213.4
201021009,Bacchus Marsh Surrounds,1038.8,6.5
201021010,Creswick - Clunes,856.8,9.3
201021011,Daylesford,920.8,11.1
201021012,Gordon (Vic.),850.3,7.7
201031013,Avoca,1714.2,2.1
201031014,Beaufort,1863,2.6
201031015,Golden Plains - North,922.1,5.4
201031016,Maryborough (Vic.),45.5,180.7
201031017,Maryborough Surrounds,1627.6,3.5
202011018,Bendigo,16.1,901.7
202011019,California Gully - Eaglehawk,32.9,410
202011020,East Bendigo - Kennington,17.1,817.7
202011021,Flora Hill - Spring Gully,13.2,724.5
202011022,Kangaroo Flat - Golden Square,40.9,523.6
202011023,Maiden Gully,43,135.9
202011024,Strathfieldsaye,56.4,203.5
202011025,White Hills - Ascot,67.8,231.5
202021026,Bendigo Surrounds - South,796.9,11.3
202021027,Castlemaine,83.9,137.5
202021028,Castlemaine Surrounds,1515,6.3
202021029,Heathcote,756.8,7
202021030,Kyneton,556.5,19.1
202021031,Woodend,211.9,37.9
202031032,Bendigo Surrounds - North,1440.2,3.7
202031033,Loddon,6193.3,1.2
203011034,Bannockburn,192.1,43.2
203011035,Golden Plains - South,1484.5,5.9
203011036,Winchelsea,903.3,7.7
203021037,Belmont,9.4,1615.6
203021039,Geelong,12.8,1071.7
203021040,Geelong West - Hamlyn Heights,32,691.6
203021042,Highton,40.6,631
203021043,Lara,588.6,39
203021044,Leopold,27.9,492.5
203021045,Newcomb - Moolap,43.3,350.6
203021046,Newtown (Vic.),5.8,1793.5
203021047,North Geelong - Bell Park,21.9,716.5
203021485,Charlemont,18.1,774.2
203021486,Corio - Lovely Banks,74.4,249
203021487,Grovedale - Mount Duneed,37.6,739.1
203021488,Norlane,6.5,1383.2
203031048,Clifton Springs,65.1,272.2
203031049,Lorne - Anglesea,448,14
203031051,Portarlington,71.9,147.9
203031052,Point Lonsdale - Queenscliff,61.7,95.5
203031053,Torquay,126.3,209.2
203031489,Barwon Heads - Armstrong Creek,88.2,163.5
203031490,Ocean Grove,68.8,298.2
204011054,Alexandra,2119,3.2
204011055,Euroa,2057.9,3.4
204011056,Kilmore - Broadford,461.5,35.8
204011057,Mansfield (Vic.),3927.9,2.8
204011058,Nagambie,1294.3,3.7
204011059,Seymour,79.3,86.4
204011060,Seymour Surrounds,1688.8,2.7
204011061,Upper Yarra Valley,856.3,0.3
204011062,Yea,1474.3,2.9
204021063,Benalla,315.3,34.5
204021064,Benalla Surrounds,2105.3,1.8
204021065,Rutherglen,479.8,8.7
204021066,Wangaratta,57.6,348.5
204021067,Wangaratta Surrounds,3587.5,2.8
204031068,Beechworth,371.3,13.4
204031069,Bright - Mount Beauty,4253.7,2.1
204031070,Chiltern - Indigo Valley,513.1,6.4
204031071,Myrtleford,553.4,8.4
204031072,Towong,6668.9,0.9
204031073,West Wodonga,153.9,101.7
204031075,Yackandandah,708.2,7.7
204031491,Baranduda - Leneva,248.8,57.4
204031492,Wodonga,30.3,490.9
205011076,Drouin,326.8,66.7
205011077,Mount Baw Baw Region,2753.3,2.4
205011078,Trafalgar (Vic.),501.5,17.1
205011079,Warragul,352.2,70.7
205021080,Alps - East,2071.3,0
205021081,Bairnsdale,155,101.9
205021082,Bruthen - Omeo,7377.4,1.2
205021083,Lake King,93.9,0
205021084,Lakes Entrance,214,52.8
205021085,Orbost,11383.7,0.6
205021086,Paynesville,417.9,17.1
205031087,Foster,1498.8,6.4
205031088,French Island,170.2,0.8
205031089,Korumburra,600.7,16.6
205031090,Leongatha,801,14.6
205031091,Phillip Island,100.6,144.6
205031092,Wilsons Promontory,481.5,0
205031093,Wonthaggi - Inverloch,728.8,39.5
205041094,Churchill,796.5,15.3
205041095,Moe - Newborough,105.3,166.3
205041096,Morwell,85.5,169.9
205041098,Yallourn North - Glengarry,342.7,14.4
205041493,Traralgon - East,108.3,113.2
205041494,Traralgon - West,41.3,416.6
205051099,Alps - West,2955.7,0
205051100,Longford - Loch Sport,1610.8,3.1
205051101,Maffra,2532.3,6.1
205051102,Rosedale,968.5,5.1
205051103,Sale,45.6,337.4
205051104,Yarram,1931.9,2.9
206011106,Brunswick East,2.2,6659
206011107,Brunswick West,3.2,4920.3
206011109,Pascoe Vale South,3,3636.7
206011495,Brunswick - North,2.4,6058.3
206011496,Brunswick - South,2.7,5557.2
206011497,Coburg - East,3.7,3727.1
206011498,Coburg - West,3.2,4654
206021110,Alphington - Fairfield,2.9,3357.7
206021112,Thornbury,5,3998.6
206021499,Northcote - East,3.5,4531.2
206021500,Northcote - West,2.6,4162.1
206031113,Ascot Vale,3.8,4211
206031115,Flemington,1.6,6509.4
206031116,Moonee Ponds,4.4,4092.4
206031501,Essendon (West) - Aberfeldie,4.9,3509.4
206031502,Essendon - East,3.6,3642.3
206041117,Carlton,1.8,13170.9
206041118,Docklands,2.4,7597
206041119,East Melbourne,2.9,1800.8
206041120,Flemington Racecourse,1.7,45.6
206041121,Kensington (Vic.),2.1,5449
206041124,Parkville,4,2048.1
206041125,South Yarra - West,1.5,4622.3
206041127,West Melbourne - Industrial,6.2,0
206041503,Melbourne CBD - East,0.8,17078.6
206041504,Melbourne CBD - North,0.6,41985.4
206041505,Melbourne CBD - West,1,21418.8
206041506,North Melbourne,2.4,7926.8
206041507,Royal Botanic Gardens Victoria,1.4,0
206041508,Southbank (West) - South Wharf,0.8,9258.5
206041509,Southbank - East,0.8,24164.2
206041510,West Melbourne - Residential,0.8,11278
206051128,Albert Park,4.7,3676
206051129,Elwood,2.6,6251.9
206051130,Port Melbourne,2.8,6052.9
206051134,St Kilda East,2.4,7181.3
206051511,Port Melbourne Industrial,7.6,341.6
206051512,South Melbourne,1.9,6834.9
206051513,St Kilda - Central,1.5,8926.8
206051514,St Kilda - West,2.4,6794
206061135,Armadale,2.2,4578.4
206061136,Prahran - Windsor,2.9,7203.4
206061138,Toorak,4.3,3123.5
206061515,South Yarra - North,1.2,11656.1
206061516,South Yarra - South,1.3,7835.3
206071139,Abbotsford,1.7,5914.4
206071140,Carlton North - Princes Hill,2.3,3796.1
206071141,Collingwood,1.3,8797.1
206071142,Fitzroy,1.4,8697.3
206071143,Fitzroy North,2.5,5477.6
206071145,Clifton Hill - Alphington,5.2,2167.8
206071517,Richmond (South) - Cremorne,4.3,4483.5
206071518,Richmond - North,1.9,7965
207011146,Ashburton (Vic.),2.8,2962.3
207011147,Balwyn,5.6,3037.7
207011148,Balwyn North,8.8,2522.8
207011149,Camberwell,7.3,3033.5
207011150,Glen Iris - East,5.7,3074
207011152,Hawthorn East,3.8,4528.8
207011154,Kew East,4,1688.5
207011155,Surrey Hills (West) - Canterbury,5.7,2846.2
207011519,Hawthorn - North,2.5,4405.9
207011520,Hawthorn - South,3.2,4191.5
207011521,Kew - South,4.3,2856.9
207011522,Kew - West,6.2,2201.9
207021156,Bulleen,6.7,1763.1
207021157,Doncaster,8.8,3180.4
207021159,Templestowe,16.1,1083.7
207021160,Templestowe Lower,5.9,2460.5
207021424,Doncaster East - North,6.4,2553.8
207021425,Doncaster East - South,4.8,3504.3
207031161,Blackburn,8.6,2726.8
207031162,Blackburn South,3.6,3080.4
207031163,Box Hill,7,3803
207031164,Box Hill North,6.2,3130.3
207031165,Burwood (Vic.),5,2960.4
207031166,Burwood East,4.3,2900.8
207031167,Surrey Hills (East) - Mont Albert,3.3,3234.8
208011168,Beaumaris,6,2416.6
208011169,Brighton (Vic.),8.2,2939.7
208011170,Brighton East,5.6,3077.8
208011171,Highett (West) - Cheltenham,5.3,2462.1
208011172,Hampton,5.7,3378.9
208011173,Sandringham - Black Rock,6.4,2802.8
208021174,Bentleigh - McKinnon,6.2,4309.8
208021176,Carnegie,3.8,5494.3
208021177,Caulfield - North,6.4,3814.5
208021178,Caulfield - South,4.7,4001
208021179,Elsternwick,2.9,4460.8
208021180,Hughesdale,2,4024.9
208021181,Murrumbeena,2.5,3994.4
208021182,Ormond - Glen Huntly,2.9,5017.2
208021426,Bentleigh East - North,4.6,3816.8
208021427,Bentleigh East - South,4.6,3219.1
208031183,Aspendale Gardens - Waterways,5.3,1714.4
208031184,Braeside,9.1,3.1
208031185,Carrum - Patterson Lakes,5.8,2136.8
208031186,Chelsea - Bonbeach,5.4,2928.6
208031187,Chelsea Heights,3.2,1707.2
208031188,Highett (East) - Cheltenham,8.7,2960.3
208031189,Edithvale - Aspendale,5.1,2774.7
208031190,Mentone,4.5,3143.1
208031191,Moorabbin - Heatherton,11.7,829.8
208031192,Moorabbin Airport,3.1,8.5
208031193,Mordialloc - Parkdale,8,2789.7
208041194,Malvern - Glen Iris,6.2,3522.2
208041195,Malvern East,7.6,3137.2
209011196,Bundoora - East,4.1,2512.9
209011197,Greensborough,10.1,2113.2
209011198,Heidelberg - Rosanna,6.4,2654.7
209011199,Heidelberg West,6.7,2496.3
209011200,Ivanhoe,5,2604.3
209011201,Ivanhoe East - Eaglemont,4.3,1893.9
209011202,Montmorency - Briar Hill,12,1409.8
209011203,Viewbank - Yallambie,10.2,1856.7
209011204,Watsonia,3.8,2514.2
209021205,Kingsbury,9,1388.3
209021428,Preston - East,7.7,2917.2
209021429,Preston - West,3.6,3775.3
209021523,Reservoir - North East,4.8,3336.7
209021524,Reservoir - North West,4.5,2171
209021525,Reservoir - South East,4.2,3320.7
209021526,Reservoir - South West,5.6,2695.4
209031209,Eltham,19.5,1208.6
209031210,Hurstbridge,14.8,238.5
209031211,Kinglake,319.5,13.8
209031212,Panton Hill - St Andrews,292.2,17.6
209031213,Plenty - Yarrambat,29.1,330
209031214,Research - North Warrandyte,49.8,141.3
209031215,Wattle Glen - Diamond Creek,26.8,551.8
209041216,Bundoora - North,4.7,1697.8
209041217,Bundoora - West,2.6,2633.5
209041220,Mill Park - North,8.1,2176.2
209041221,Mill Park - South,4.9,2296.6
209041223,Thomastown,14.7,1398.6
209041224,Wallan,507.7,56
209041225,Whittlesea,298,53.1
209041431,Epping - East,7.8,1736.6
209041432,Epping - South,15.9,530.1
209041433,Epping (Vic.) - West,7.4,1754
209041435,South Morang - North,13.7,953.4
209041436,South Morang - South,7.7,1664.3
209041437,Wollert,53.9,623.1
209041527,Doreen - North,9.4,1825.5
209041528,Doreen - South,5,2351.5
209041529,Lalor - East,3.3,3067.8
209041530,Lalor - West,8.7,1594.8
209041531,Mernda - North,15.2,792.2
209041532,Mernda - South,8.6,1567.9
210011226,Airport West,3.7,2324.8
210011227,Essendon Airport,3.4,4.2
210011228,Keilor,17.5,496.9
210011230,Niddrie - Essendon West,2.8,2827.6
210011231,Strathmore,4.1,2523.2
210011533,Avondale Heights,5.4,2370.6
210011534,Keilor East,5.5,2826.5
210021232,Gisborne,211.1,73.1
210021233,Macedon,73,49.9
210021234,Riddells Creek,83.4,54.6
210021235,Romsey,624.7,18.4
210031236,Coburg North,4.9,1831.7
210031237,Fawkner,5.1,2942.1
210031439,Gowanbrae,1.5,2094.6
210031440,Hadfield,3.1,2181.5
210031535,Glenroy - East,6.2,2518.7
210031536,Glenroy - West,2.6,3667.3
210031537,Oak Park,2.4,3606.8
210031538,Pascoe Vale,4.6,3980.6
210041240,Sunbury,129.5,114.3
210041539,Diggers Rest,51.9,134.3
210041540,Sunbury - South,41.4,405.8
210041541,Sunbury - West,37.8,301.7
210051242,Broadmeadows,8.8,1675.1
210051243,Campbellfield - Coolaroo,18.2,903.8
210051245,Gladstone Park - Westmeadows,13.9,1310.6
210051246,Greenvale - Bulla,95.9,268.2
210051247,Meadow Heights,4.6,3234.5
210051248,Melbourne Airport,30.4,4.3
210051250,Tullamarine,3.9,1738.6
210051441,Craigieburn - Central,4,2068
210051442,Craigieburn - North,13.4,964.8
210051443,Craigieburn - South,11.9,2021.6
210051445,Mickleham - Yuroke,70.8,499.3
210051542,Craigieburn - North West,1.9,5832.9
210051543,Craigieburn - West,4.1,3609.7
210051544,Roxburgh Park (South) - Somerton,8.9,1096.3
210051545,Roxburgh Park - North,3.4,4519
211011251,Bayswater,8,1654.1
211011254,Knoxfield - Scoresby,15.3,1123
211011255,Lysterfield,18.5,357.6
211011256,Rowville - Central,8.2,1918.3
211011257,Rowville - North,4.2,1893.6
211011258,Rowville - South,9.4,1132.7
211011259,Wantirna,8.3,1761.4
211011260,Wantirna South,13.4,1376.8
211011446,Boronia,11.3,2181
211011447,Ferntree Gully - North,7,2080.1
211011448,Ferntree Gully (South) - Upper Ferntree Gully,9.1,1704.9
211011449,The Basin,5.7,760.1
211021261,Donvale - Park Orchards,20.8,806.5
211021262,Warrandyte - Wonga Park,45.8,223.7
211031263,Bayswater North,9.9,1215.4
211031265,Croydon Hills - Warranwood,9.5,1937.5
211031266,Ringwood,9.9,1981
211031267,Ringwood East,9.4,2327.9
211031268,Ringwood North,4.7,2072.2
211031450,Croydon - East,8.1,2121.6
211031451,Croydon - West,6.8,2181.3
211031452,Croydon South,2.9,1799.7
211041269,Forest Hill,4.1,2754.9
211041270,Mitcham (Vic.),6.6,2636.4
211041271,Nunawading,5.1,2605.1
211041272,Vermont,4.6,2462.8
211041273,Vermont South,6.2,1985
211051274,Belgrave - Selby,55.7,179.5
211051275,Chirnside Park,22.2,563.3
211051276,Healesville - Yarra Glen,369.5,38
211051277,Kilsyth,8.2,1295.2
211051278,Lilydale - Coldstream,109.4,187.7
211051279,Monbulk - Silvan,68.6,85.1
211051280,Montrose,10.5,656.4
211051281,Mooroolbark,12.5,1933.9
211051282,Mount Dandenong - Olinda,81.9,117.3
211051283,Mount Evelyn,17,590.5
211051284,Upwey - Tecoma,8.9,1109.2
211051285,Wandin - Seville,111.8,71.6
211051286,Yarra Valley,729.8,23.4
212011289,Emerald - Cockatoo,371.6,51
212011546,Beaconsfield - Officer,33.3,853.1
212011547,Bunyip - Garfield,366,28
212011548,Koo Wee Rup,414.7,29
212011549,Pakenham - North East,18.9,865.3
212011550,Pakenham - North West,24.7,391.4
212011551,Pakenham - South East,30.9,216.7
212011552,Pakenham - South West,22.3,1266.6
212021293,Berwick - North,19.7,1205
212021295,Doveton,5.2,2463.1
212021297,Hallam,8.1,1482.5
212021299,Narre Warren North,34.4,237.8
212021453,Endeavour Hills - North,14.5,839.4
212021454,Endeavour Hills - South,5.6,2433
212021455,Narre Warren - North East,4.9,2799.1
212021456,Narre Warren - South West,9.3,1660.5
212021553,Berwick - South East,9.9,2023.8
212021554,Berwick - South West,5,2573
212031300,Cranbourne,13,1730.6
212031303,Cranbourne South,81.7,301
212031304,Cranbourne West,12.9,1930.7
212031306,Lynbrook - Lyndhurst,7.4,2641.2
212031308,Pearcedale - Tooradin,98.5,83.8
212031457,Narre Warren South - East,6.2,2094.7
212031458,Narre Warren South - West,6.8,2529.3
212031555,Clyde North - North,6.9,1911.1
212031556,Clyde North - South,19.7,1252.1
212031557,Cranbourne East - North,11,2281
212031558,Cranbourne East - South,5.3,2836.8
212031559,Cranbourne North - East,5.5,2507.7
212031560,Cranbourne North - West,4.8,2576.6
212031561,Hampton Park - East,8.2,1628.3
212031562,Hampton Park - West,5.1,2687.3
212041309,Clarinda - Oakleigh South,6.3,1858.7
212041310,Clayton South,7.9,1907
212041312,Dandenong North,9.5,2463.3
212041313,Dingley Village,7.2,1484.6
212041316,Noble Park North,3.8,2036.2
212041317,Springvale,11.1,2171.1
212041318,Springvale South,4.6,2881.4
212041459,Noble Park - East,3.8,3636.5
212041460,Noble Park - West,4.8,4240.2
212041563,Dandenong - North,8,2868.7
212041564,Dandenong - South,53.8,186.5
212041565,Keysborough - North,6.6,2285.3
212041566,Keysborough - South,23.7,712.8
212051319,Ashwood - Chadstone,6.7,3122.3
212051321,Glen Waverley - East,9.2,2475.7
212051322,Glen Waverley - West,7.7,3022.7
212051323,Mount Waverley - North,6.5,2654.8
212051324,Mount Waverley - South,8.7,2365.5
212051325,Mulgrave,10.7,1957.4
212051326,Oakleigh - Huntingdale,10.2,2468.4
212051327,Wheelers Hill,10.4,2038.9
212051567,Clayton (North) - Notting Hill,5.2,2704.6
212051568,Clayton - Central,4.2,3595
213011328,Ardeer - Albion,4.6,1723.5
213011329,Cairnlea,4.4,2279.8
213011331,Delahey,3.5,2284.4
213011332,Keilor Downs,7.7,1706.1
213011333,Kings Park (Vic.),4.4,3143.1
213011334,St Albans - North,6.5,3219.9
213011335,St Albans - South,6.3,2835.6
213011336,Sunshine,4.7,2135.2
213011337,Sunshine North,8,1558.2
213011338,Sunshine West,13,1448.9
213011339,Sydenham,3.9,3032.5
213011340,Taylors Lakes,18.5,920.7
213011569,Deer Park,8.1,2283.9
213011570,Derrimut,13.3,672.3
213021341,Altona,17.7,804.9
213021342,Altona Meadows,10.5,1782.7
213021343,Altona North,16.2,983.3
213021344,Newport,8.8,2255.8
213021345,Seabrook,1.6,3063.8
213021346,Williamstown,7.3,2303.2
213031347,Braybrook,7.5,2765.7
213031348,Footscray,5,4178.7
213031349,Maribyrnong,5.5,2515.4
213031350,Seddon - Kingsville,1.7,5821.6
213031351,West Footscray - Tottenham,6,2165.8
213031352,Yarraville,5.6,2890.2
213041353,Bacchus Marsh,196.3,135.4
213041358,Melton West,24.2,937.6
213041359,Rockbank - Mount Cottrell,125.8,249.6
213041360,Taylors Hill,6,3327.1
213041461,Burnside,2.6,2527
213041462,Burnside Heights,2,3257
213041463,Caroline Springs,7,3023.6
213041571,Brookfield,10.7,973.4
213041572,Cobblebank - Strathtulloh,19.8,595.2
213041573,Eynesbury - Exford,69.5,56.6
213041574,Fraser Rise - Plumpton,58.7,353
213041575,Hillside,7.8,2062.3
213041576,Kurunjang - Toolern Vale,120.8,99.9
213041577,Melton,9.9,815.9
213041578,Melton South - Weir Views,11,1974.3
213051361,Hoppers Crossing - North,10.9,1686.9
213051362,Hoppers Crossing - South,7,2705.2
213051363,Laverton,22.2,573.3
213051368,Werribee - South,114,157.3
213051464,Point Cook - East,19,1130.5
213051466,Point Cook - South,9.4,2186
213051467,Werribee - East,7.8,2465.4
213051468,Werribee - West,127.7,239.3
213051579,Manor Lakes - Quandong,72,174.6
213051580,Point Cook - North East,5.6,2668.4
213051581,Point Cook - North West,2.9,3459.8
213051582,Tarneit (West) - Mount Cottrell,36.7,467.9
213051583,Tarneit - Central,8,3700.9
213051584,Tarneit - North,14.3,940
213051585,Tarneit - South,3.1,3740.5
213051586,Truganina - North,17.5,815.5
213051587,Truganina - South East,4.3,2504.7
213051588,Truganina - South West,5.4,3785.2
213051589,Wyndham Vale - North,51.2,256.4
213051590,Wyndham Vale - South,5,2856.9
214011370,Carrum Downs,20.3,1149.4
214011371,Frankston,11.6,2132.8
214011372,Frankston North,13.2,1498.8
214011373,Frankston South,14.6,1319.6
214011374,Langwarrin,37.6,684.4
214011375,Seaford (Vic.),12.4,1453.7
214011376,Skye - Sandhurst,19.8,686.7
214021377,Dromana,45.1,305.9
214021378,Flinders,287.4,21.1
214021379,Hastings - Somers,108.9,220.1
214021381,Mount Eliza,23.2,819.1
214021382,Mount Martha,30.2,667.5
214021383,Point Nepean,67.2,301.5
214021384,Rosebud - McCrae,23.8,978.4
214021385,Somerville,117.4,161.7
214021591,Mornington - East,14.7,1028.8
214021592,Mornington - West,6.4,1693.1
215011386,Ararat,161.2,51.7
215011387,Ararat Surrounds,4023.2,0.8
215011388,Horsham,83.1,204.1
215011389,Horsham Surrounds,4251.5,0.8
215011390,Nhill Region,11042.8,0.6
215011391,St Arnaud,3008.6,1.1
215011392,Stawell,2743.4,3.1
215011393,West Wimmera,5686.4,0.5
215011394,Yarriambiack,7139.6,0.9
215021395,Irymple,88.6,89.8
215021396,Merbein,101.7,48.9
215021398,Mildura Surrounds,21568.8,0.2
215021399,Red Cliffs,246.7,24.7
215021469,Mildura - North,25.1,721.4
215021470,Mildura - South,51,327.2
215031400,Buloke,8068.7,0.7
215031401,Gannawarra,3568.3,1.8
215031402,Kerang,146.6,26.1
215031403,Robinvale,181.6,20.6
215031404,Swan Hill,126.6,85.6
215031405,Swan Hill Surrounds,5759.6,1.1
216011406,Echuca,184,84.5
216011407,Kyabram,738.9,14.7
216011408,Lockington - Gunbower,1646.4,2.4
216011409,Rochester,351.6,10.6
216011410,Rushworth,1633.9,2.6
216021411,Cobram,131.7,50.1
216021412,Moira,1498.8,1.9
216021413,Numurkah,2320.7,5.4
216021414,Yarrawonga,94.7,93.8
216031415,Mooroopna,40,208
216031416,Shepparton - North,65.7,309.3
216031418,Shepparton Surrounds - East,1055.6,3.9
216031419,Shepparton Surrounds - West,1028.7,10.1
216031593,Kialla,77.4,130.5
216031594,Shepparton - South East,65.8,250.4
217011420,Glenelg (Vic.),6121.4,1.4
217011421,Hamilton (Vic.),198.3,52.1
217011422,Portland,64,174.7
217011423,Southern Grampians,6562.6,1
217031471,Camperdown,98.1,34.7
217031472,Colac,54.7,231.3
217031473,Colac Surrounds,1934.3,2.9
217031474,Corangamite - North,2538.3,2.1
217031475,Corangamite - South,1805.2,4
217031476,Otway,1505.9,2.6
217041477,Moyne - East,3275.8,2.2
217041478,Moyne - West,2037.8,5
217041479,Warrnambool - North,62.4,367.1
217041480,Warrnambool - South,120.2,113
301011001,Alexandra Hills,13.6,1265.9
301011002,Belmont - Gumdale,33.1,238.7
301011003,Birkdale,11.6,1372.3
301011004,Capalaba,18.9,1012.6
301011005,Thorneside,2.7,1511
301011006,Wellington Point,9.4,1310.5
301021007,Cleveland,11.9,1414.5
301021008,Ormiston,4.9,1405
301021009,Redland Bay,46.9,417.8
301021011,Sheldon - Mount Cotton,65.2,133.5
301021012,Thornlands,21.6,992.1
301021013,Victoria Point,13.4,1182.4
301021550,North Stradbroke Island,277.1,8.2
301021551,Southern Moreton Bay Islands,39.9,250.2
301031014,Brisbane Port - Lytton,32.8,0.3
301031015,Manly - Lota,4.2,1965.8
301031016,Manly West,4.9,2511.5
301031017,Murarrie,8.4,611.9
301031018,Tingalpa,8.9,1043.1
301031019,Wakerley,5.2,1889.8
301031020,Wynnum,6.1,2489.7
301031021,Wynnum West - Hemmant,12.3,1366.5
302011022,Bald Hills,13.4,626.5
302011023,Bridgeman Downs,9.5,1231.7
302011024,Carseldine,4.5,2269.4
302011025,Everton Park,4.2,2639.8
302011026,McDowall,4.4,1961.4
302021027,Aspley,6.3,2179.1
302021028,Chermside,3.4,3692
302021029,Chermside West,3.4,2059.2
302021030,Geebung,4,1150.8
302021031,Kedron - Gordon Park,5.2,2967
302021032,Stafford,3.4,2146
302021033,Stafford Heights,2.9,2516.5
302021034,Wavell Heights,3.6,3105.4
302031035,Boondall,10.8,956.7
302031036,Brisbane Airport,45.3,2.9
302031037,Eagle Farm - Pinkenba,7.2,347.1
302031038,Northgate - Virginia,6.1,1221.5
302031039,Nudgee - Banyo,13.9,837.6
302031040,Nundah,3.7,3972.4
302041041,Bracken Ridge,8.1,2296.5
302041042,Brighton (Qld),6.5,1558.2
302041043,Deagon,2.8,1411.4
302041044,Sandgate - Shorncliffe,4.3,1602.1
302041045,Taigum - Fitzgibbon,6.3,2420.2
302041046,Zillmere,3.7,2714.6
303011047,Camp Hill,4.6,2821.2
303011048,Cannon Hill,4,1931.2
303011049,Carina,4.4,2898.7
303011050,Carina Heights,3.4,2178.2
303011051,Carindale,10.2,1703.7
303021052,Annerley,2.9,4515.6
303021053,Coorparoo,5.3,3564.8
303021054,Fairfield - Dutton Park,2.1,2616.6
303021055,Greenslopes,3,3888.2
303021056,Holland Park,3.3,2835.2
303021057,Holland Park West,2.6,2626.3
303021058,Woolloongabba,2.4,4186.1
303021059,Yeronga,6.1,1781.3
303031060,Eight Mile Plains,7.7,2153
303031061,Macgregor (Qld),2.7,2464.9
303031062,Mansfield (Qld),5.3,1751.8
303031063,Mount Gravatt,7.4,2307.1
303031064,Rochedale - Burbank,47.3,276.5
303031065,Upper Mount Gravatt,4.2,2868.1
303031066,Wishart,4.8,2489.2
303041067,Coopers Plains,4.4,1430.7
303041068,Moorooka,4.1,2849.2
303041069,Robertson,1.9,2910.5
303041070,Salisbury - Nathan,9.5,856.9
303041071,Tarragindi,4.5,2548.1
303051072,Algester,3.7,2703
303051073,Calamvale - Stretton,19.7,1268.1
303051074,Pallara - Willawong,26.7,579
303051075,Parkinson - Drewvale,12.7,1341.2
303051076,Rocklea - Acacia Ridge,22.4,446.6
303061077,Kuraby,4.6,2025.3
303061078,Runcorn,6.7,2313.7
303061079,Sunnybank,4.4,2346
303061080,Sunnybank Hills,6.4,3029.7
304011081,Jindalee - Mount Ommaney,4.8,1638.3
304011082,Middle Park - Jamboree Heights,2.7,2749.5
304011083,Riverhills,2.2,1957.4
304011084,Seventeen Mile Rocks - Sinnamon Park,5.4,1831.4
304011085,Westlake,1.9,2376.2
304021086,Bellbowrie - Moggill,17.4,635.6
304021087,Brookfield - Kenmore Hills,58,124.5
304021088,Chapel Hill,5.4,2069.1
304021089,Fig Tree Pocket,4.3,1076.4
304021090,Kenmore,5.3,1906.8
304021091,Pinjarra Hills - Pullenvale,44.2,133.2
304031092,Chelmer - Graceville,3.2,2488.2
304031093,Corinda,2.9,1944.5
304031094,Indooroopilly,7.4,2056.2
304031095,Sherwood,2.3,3063.1
304031096,St Lucia,3.4,4374.7
304031097,Taringa,2.1,4728.8
304041098,Enoggera,9.6,1029.2
304041099,Enoggera Reservoir,37.7,0.9
304041100,Keperra,5.2,1461.9
304041101,Mitchelton,4.2,2263.6
304041102,Mount Coot-tha,14.6,0
304041103,The Gap,12.3,1480.4
304041104,Upper Kedron - Ferny Grove,13.2,957.6
305011105,Brisbane City,2.4,7136.1
305011106,Fortitude Valley,1.3,9058.5
305011107,Highgate Hill,1.2,5956.2
305011108,Kangaroo Point,1.3,8894.6
305011109,New Farm,2.1,6415.2
305011110,South Brisbane,2,8494.5
305011111,Spring Hill,1.2,7191.1
305011112,West End,2,8881.7
305021113,Balmoral,1.4,3503
305021114,Bulimba,2.1,3828.8
305021115,East Brisbane,1.9,3560.1
305021116,Hawthorne,1.4,4107.8
305021117,Morningside - Seven Hills,6.6,2383.3
305021118,Norman Park,2.3,3266.4
305031119,Albion,1.5,3201.6
305031120,Alderley,2.5,2938.1
305031121,Ascot,2.5,2559.9
305031122,Clayfield,2.9,3971.7
305031123,Grange,1.8,2754.9
